pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,discoverymethod,disc_year,pl_orbper,pl_orbeccen,st_rad,st_logg,pl_insol,stellar_luminosity,hz_inner,hz_outer,hz_center,hz_width,hz_position,in_habitable_zone,hz_distance_factor,esi_radius,esi_mass,esi_temperature,esi_composite,esi_surface,escape_velocity_ratio,atmospheric_retention,stellar_flux,stellar_class,stellar_temp_habitability,stellar_mass_habitability,stellar_lifetime_gyr,hz_score,esi_score,atm_score,stellar_score,habitability_score
Kepler-135 b,Kepler-135,2.014,,0.06566,6014.0,1.047,,Transit,2014,6.002535939,,1.413,,543.9,1.1743928159015946,1.0295093570974423,1.4846608623405222,1.2570851097189824,0.4551515052430799,0.052231944752474314,False,-1.2820638037715713,0.6635700066357001,,,,,,,543.9,F,0.7,0.9765,8.915245272479005,0.0,0.0,0.5,0.7,0.16999999999999998
Kepler-135 c,Kepler-135,1.247,,0.10102,6014.0,1.047,,Transit,2014,11.4485946,,1.413,,229.7,1.1743928159015946,1.0295093570974423,1.4846608623405222,1.2570851097189824,0.4551515052430799,0.08036050957805294,False,-1.0949573179885617,0.8900756564307966,,,,,,,229.7,F,0.7,0.9765,8.915245272479005,0.0,0.0,0.5,0.7,0.16999999999999998
Kepler-1352 b,Kepler-1352,0.886,,0.02883,5870.0,0.906,,Transit,2016,1.877882748,,1.243,,1975.5,0.7078621516623163,0.7992781692722756,1.1526432546347554,0.9759607119535154,0.3533650853624798,0.029540123538674946,False,-1.5295876927731336,0.9395546129374337,,,,,,,1975.5,G,1.0,0.9530000000000001,12.799102168019358,0.0,0.0,0.5,1.0,0.2
Kepler-239 c,Kepler-239,2.263,,0.27016,4939.0,0.831,,Transit,2014,56.2279697,,0.759,,4.2,0.5231227209036543,0.6871086199543329,0.9908829571973014,0.8389957885758171,0.30377433724296843,0.3220040001137462,False,-0.4921387332217576,0.6129328838492185,,,,,,,4.2,K,0.9,0.9155,15.885373867235424,0.0,0.0,0.5,0.9,0.19
Kepler-1359 b,Kepler-1359,2.511,,0.26657,4699.0,0.713,,Transit,2016,59.4970952,,0.647,,2.6,0.30606477850060443,0.5255696553234361,0.7579267660980079,0.641748210710722,0.23235711077457177,0.41538097894309606,False,-0.3815533944864943,0.5696382796923953,,,,,,,2.6,K,0.9,0.8565,23.29572201979431,0.0,0.0,0.5,0.9,0.19
Kepler-239 b,Kepler-239,2.436,,0.09519,4939.0,0.831,,Transit,2014,11.76305946,,0.759,,33.9,0.5231227209036543,0.6871086199543329,0.9908829571973014,0.8389957885758171,0.30377433724296843,0.11345706533471832,False,-0.945168454029038,0.5820721769499417,,,,,,,33.9,K,0.9,0.9155,15.885373867235424,0.0,0.0,0.5,0.9,0.19
Kepler-1361 b,Kepler-1361,0.838,,0.04304,5037.0,0.831,,Transit,2016,3.57554956,,0.768,,183.9,0.5231227209036543,0.6871086199543329,0.9908829571973014,0.8389957885758171,0.30377433724296843,0.05129942317476916,False,-1.2898875181907798,0.911860718171926,,,,,,,183.9,K,0.9,0.9155,15.885373867235424,0.0,0.0,0.5,0.9,0.19
Kepler-1365 b,Kepler-1365,1.384,,0.07839,5700.0,1.083,,Transit,2016,7.69993485,,1.618,,403.5,1.3219030304100097,1.092253397772254,1.5751443736294612,1.3336988857008576,0.4828909758572073,0.05877638561481299,False,-1.230797123874241,0.8389261744966443,,,,,,,403.5,G,1.0,0.9585,8.19273407417857,0.0,0.0,0.5,1.0,0.2
Kepler-1365 c,Kepler-1365,1.152,,0.05701,5700.0,1.083,,Transit,2016,4.77468005,,1.618,,762.9,1.3219030304100097,1.092253397772254,1.5751443736294612,1.3336988857008576,0.4828909758572073,0.04274578063401567,False,-1.3691067473170973,0.9293680297397771,,,,,,,762.9,G,1.0,0.9585,8.19273407417857,0.0,0.0,0.5,1.0,0.2
Kepler-137 b,Kepler-137,1.746,,0.07688,5237.0,0.85,,Transit,2014,8.43639364,,0.851,,82.5,0.5661952739834993,0.7148365091194686,1.0308694920986021,0.8728530006090354,0.3160329829791335,0.08807897772747163,False,-1.0551277345664418,0.7283321194464676,,,,,,,82.5,G,1.0,0.925,15.012488430356829,0.0,0.0,0.5,1.0,0.2
