pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,stellar_luminosity,hz_position,in_habitable_zone,esi_radius,esi_mass,esi_temperature,esi_surface,escape_velocity_ratio,stellar_flux,habitability_score,ml_target,is_habitable_optimized,is_habitable_relaxed,habitability_class_ml,pl_name,hostname
1.556,,0.0417,5718.0,1.021,,1.075449686504805,0.0346643464919641,False,0.7824726134585289,,,,,545.2,0.2,0,0,1,Moderate,Kepler-416 d,Kepler-416
2.352,,0.10454,5718.0,1.021,,1.075449686504805,0.0869019372246986,False,0.5966587112171837,,,,,86.8,0.2,0,0,1,Limited,Kepler-416 c,Kepler-416
2.012,,0.04333,5672.0,0.858,,0.5850668713813356,0.0488346350011955,False,0.6640106241699868,,,,,817.5,0.2,0,0,1,Limited,Kepler-1003 b,Kepler-1003
2.426,,0.0674,5718.0,1.021,,1.075449686504805,0.0560282243059564,False,0.5837711617046117,,,,,208.7,0.2,0,0,1,Limited,Kepler-416 b,Kepler-416
2.771,,0.07195,5567.0,0.966,,0.8859718891574402,0.0658965742810677,False,0.5303632988597189,,,,,127.6,0.2,0,0,0,Limited,Kepler-414 c,Kepler-414
2.026,,0.0543,5567.0,0.966,,0.8859718891574402,0.0497315355588877,False,0.6609385327164574,,,,,223.6,0.2,0,0,1,Limited,Kepler-414 b,Kepler-414
6.538,,0.06791,5008.0,1.493,,4.066392793528773,0.0290316071016231,False,0.2653223666755108,,,,,1498.3,0.19,0,0,0,Limited,Kepler-1004 b,Kepler-1004
10.194,,0.39249,5848.0,1.072,,1.2755037763406945,0.2995916690770592,False,0.1786671431123816,,,,,7.9,0.2,0,0,0,Limited,Kepler-418 b,Kepler-418
3.238,,0.07263,4961.0,0.831,,0.5231227209036543,0.0865677766074229,False,0.4719207173194902,,,,,56.0,0.19,0,0,0,Limited,Kepler-411 c,Kepler-411
1.619,,0.06717,5728.0,0.956,,0.8542846894298264,0.0626492747175034,False,0.7636502481863306,,,,,291.2,0.2,0,0,1,Moderate,Kepler-1005 b,Kepler-1005
1.206,,0.09755,5045.0,0.799,,0.455946333423032,0.1245410206884783,False,0.9066183136899364,,,,,33.1,0.19,1,1,1,Promising,Kepler-1008 b,Kepler-1008
5.97,,0.04844,5661.0,1.244,,2.147194229008873,0.0284977439220636,False,0.2869440459110474,,,,,1076.4,0.2,0,0,0,Limited,Kepler-101 b,Kepler-101
1.241,,0.06976,5661.0,1.244,,2.147194229008873,0.0410405164327654,False,0.8924587237840249,,,,,519.9,0.2,1,1,1,Promising,Kepler-101 c,Kepler-101
1.265,,0.06066,5500.0,0.98,,0.9317325438379406,0.054174983071691,False,0.8830022075055188,,,,,174.1,0.2,1,1,1,Promising,Kepler-1012 b,Kepler-1012
1.45,,0.08296,5440.0,0.902,,0.6969841169472837,0.0856641901378157,False,0.8163265306122449,,,,,72.4,0.2,1,1,1,Promising,Kepler-1001 c,Kepler-1001
4.903,,0.10632,5848.0,1.072,,1.2755037763406945,0.0811551536504699,False,0.338810774182619,,,,,107.6,0.2,0,0,0,Limited,Kepler-418 c,Kepler-418
14.501,,0.09228,6238.0,1.415,,3.3701368735398085,0.0433337054375365,False,0.1290239339397458,,,,,710.0,0.1699999999999999,0,0,0,Limited,Kepler-435 b,Kepler-435
12.234,,0.04385,5957.0,1.228,,2.052079981806211,0.0263884855521279,False,0.1511258878645912,,,,,1085.6,0.2,0,0,0,Limited,Kepler-43 b,Kepler-43
11.708,,0.31324,5002.0,1.487,,4.009483123681612,0.1348574772476761,False,0.1573811772112056,,,,,88.6,0.19,0,0,0,Limited,Kepler-432 b,Kepler-432
1.161,,0.10552,5976.0,1.101,,1.400411332073584,0.076868602430302,False,0.9254974548819992,,,,,264.6,0.2,1,1,1,Promising,Kepler-431 d,Kepler-431
0.875,,0.08554,5976.0,1.101,,1.400411332073584,0.0623136869966645,False,0.9333333333333332,,,,,402.3,0.2,1,1,1,Promising,Kepler-431 c,Kepler-431
0.925,,0.07261,5976.0,1.101,,1.400411332073584,0.0528945149968179,False,0.961038961038961,,,,,558.3,0.2,1,1,1,Promising,Kepler-431 b,Kepler-431
1.61,,0.47403,5936.0,1.152,,1.6409059009478812,0.3190112509932709,False,0.7662835249042146,,,,,9.0,0.2,0,0,1,Moderate,Kepler-430 c,Kepler-430
