pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,discoverymethod,disc_year,pl_orbper,pl_orbeccen,st_rad,st_logg,pl_insol
K2-243 c,K2-243,2.01,,0.1817,6570.0,1.29,801.0,Transit,2018,24.94598,,1.39,4.26,
K2-247 b,K2-247,2.12,,0.0304,4667.0,0.74,979.0,Transit,2018,2.25021,,0.69,4.63,
K2-158 b,K2-158,2.64,,0.0887,5503.0,0.92,794.0,Transit,2018,10.06049,,0.95,4.45,
K2-158 c,K2-158,1.28,,0.0622,5503.0,0.92,948.0,Transit,2018,5.90279,,0.95,4.45,
K2-159 b,K2-159,2.26,,0.1013,5425.0,0.9,684.0,Transit,2018,12.42205,,0.83,4.56,
K2-251 b,K2-251,2.35,,0.0694,3717.0,0.52,437.0,Transit,2018,9.30075,,0.49,4.76,
K2-252 b,K2-252,1.74,,0.1041,5152.0,0.79,639.0,Transit,2018,13.81513,,0.82,4.5,
K2-246 b,K2-246,3.49,,0.0602,5610.0,0.87,977.0,Transit,2018,5.76918,,0.94,4.43,
K2-244 b,K2-244,1.75,,0.1418,5677.0,0.86,638.0,Transit,2018,21.06884,,0.92,4.44,
K2-254 c,K2-254,2.19,,0.0923,4629.0,0.71,551.0,Transit,2018,12.11839,,0.67,4.64,
K2-257 b,K2-257,0.83,,0.0216,3725.0,0.52,789.0,Transit,2018,1.60588,,0.5,4.76,
K2-255 b,K2-255,2.9,,0.0274,4676.0,0.71,1034.0,Transit,2018,1.96417,,0.69,4.62,
K2-166 b,K2-166,2.19,,0.0858,5960.0,1.16,1140.0,Transit,2018,8.52695,,1.61,4.09,
K2-245 b,K2-245,4.34,,0.0959,5793.0,0.83,923.0,Transit,2018,11.89307,,1.25,4.16,
K2-254 b,K2-254,1.63,,0.0448,4629.0,0.71,791.0,Transit,2018,4.09639,,0.67,4.64,
K2-259 b,K2-259,2.32,,0.1271,6059.0,1.14,795.0,Transit,2018,15.48043,,1.13,4.39,
